ID,Edad,Experiencia,Ingresos,Codigo Postal,Familiares,Promedio Gastos,Educacion,Hipotecas,Prestamos,Activos Financieros,Online,Tarjeta
933,51,27,1120000,94720,3,1.80,Graduado,0,No,Si,Si,Si
934,50,23,90000,92064,2,1.00,Graduado,0,No,No,Si,No
935,58,33,810000,91320,2,0.00,Profesional,0,No,No,Si,No
936,46,20,1310000,95929,1,5.70,No graduado,256,No,No,No,Si
937,62,32,190000,92109,1,1.50,Profesional,0,No,Si,No,No
938,38,13,620000,92093,3,0.70,Graduado,0,No,Si,Si,No
939,62,37,190000,95818,4,0.40,Graduado,124,No,Si,No,No
940,56,32,80000,93943,2,0.30,No graduado,0,No,No,Si,Si
941,61,36,1930000,94303,1,4.70,Profesional,203,Si,No,Si,No
942,38,13,1290000,92093,4,4.40,No graduado,140,Si,No,No,No
943,55,29,300000,91320,4,0.70,Graduado,0,No,No,No,Si
944,30,4,800000,94701,4,1.80,Graduado,0,No,No,No,No
945,41,15,220000,90503,4,1.50,Profesional,0,No,No,No,Si
946,57,32,330000,91745,1,1.50,Graduado,0,No,No,Si,No
947,36,11,640000,91355,4,2.10,Profesional,0,No,No,No,No
948,55,29,600000,94305,3,2.20,Profesional,84,No,No,Si,No
949,30,4,810000,92037,1,2.90,Profesional,259,No,No,Si,Si
950,40,16,450000,94720,3,0.60,Graduado,204,No,No,Si,No
951,32,6,1120000,95054,4,1.80,Graduado,0,No,No,Si,No
952,59,34,830000,94105,2,3.40,Profesional,0,Si,No,Si,No
953,44,20,1800000,93943,2,7.60,No graduado,524,No,No,No,Si
954,51,26,280000,92130,4,0.20,Graduado,0,No,Si,Si,No
955,37,12,1690000,91107,2,5.20,Profesional,249,Si,No,Si,No
956,59,35,140000,90840,4,0.70,No graduado,0,No,No,Si,No
957,37,11,430000,90250,1,2.00,No graduado,0,No,No,Si,No
958,56,32,880000,94309,2,0.30,No graduado,0,No,No,Si,No
959,55,29,780000,90747,4,2.60,Profesional,0,No,No,No,Si
960,49,24,680000,94143,1,0.20,Graduado,163,No,No,No,No
961,46,22,1440000,93611,2,3.30,No graduado,0,No,No,Si,Si
962,35,9,300000,94114,4,1.00,No graduado,163,No,No,Si,No
963,47,21,1200000,95833,1,0.00,No graduado,135,No,No,No,No
964,39,14,240000,94305,2,0.30,Graduado,0,No,No,No,No
965,27,1,780000,92037,4,2.30,Profesional,157,No,Si,Si,No
966,62,36,1350000,94301,2,5.20,Graduado,0,Si,No,Si,No
967,57,32,440000,91605,2,1.60,Profesional,0,No,No,No,No
968,55,30,730000,92675,4,3.80,Graduado,0,No,No,Si,No
969,55,31,900000,92868,1,2.70,Graduado,0,No,No,Si,Si
970,41,15,580000,94704,3,0.50,Profesional,0,No,No,Si,No
971,57,32,750000,94928,2,3.70,No graduado,236,No,No,Si,No
972,43,19,1740000,92028,3,1.70,Profesional,231,Si,No,Si,Si
973,40,16,500000,92093,2,1.70,No graduado,174,No,No,No,No
974,43,18,850000,92703,1,4.00,Profesional,287,No,No,Si,No
975,63,38,540000,90401,3,2.20,No graduado,0,No,No,Si,No
976,63,38,830000,92122,2,3.40,No graduado,0,Si,No,No,No
977,54,30,240000,94109,4,0.20,No graduado,0,No,Si,No,No
978,54,30,450000,95134,4,1.10,Graduado,205,No,No,Si,No
979,52,26,680000,92068,1,0.80,Profesional,0,No,No,Si,Si
980,50,26,480000,94720,4,0.10,Profesional,0,No,No,No,Si
981,38,13,1140000,92697,1,1.00,Profesional,0,No,No,Si,Si
982,36,12,1420000,90064,3,2.30,Graduado,0,Si,No,Si,Si
983,58,33,520000,94402,3,0.50,Graduado,0,No,No,No,Si
984,46,22,1420000,92220,2,3.30,No graduado,0,No,No,No,No
985,50,25,150000,92173,1,0.40,Profesional,0,No,No,No,No
986,46,22,1180000,92120,1,4.70,No graduado,159,No,No,No,Si
987,53,27,1010000,90245,4,4.90,No graduado,0,No,No,Si,No
988,62,36,840000,94609,2,2.80,No graduado,0,No,No,Si,No
989,63,39,320000,94998,1,1.90,Graduado,100,No,No,No,No
990,42,16,640000,94607,3,0.50,Profesional,247,No,No,No,No
991,34,10,810000,94002,4,3.40,No graduado,0,No,No,Si,No
992,40,14,280000,94025,4,1.50,Profesional,0,No,No,No,Si
993,34,9,930000,94608,1,0.00,No graduado,0,No,No,Si,No
994,41,15,1850000,91775,1,3.60,Graduado,0,Si,No,No,No
995,32,8,420000,90650,1,1.80,Graduado,0,No,No,No,No
996,28,3,450000,94305,2,1.60,Profesional,0,No,No,Si,Si
997,33,6,490000,92037,2,1.67,Graduado,214,No,No,No,No
998,46,20,690000,92780,3,2.10,No graduado,0,No,No,No,No
999,52,27,940000,93106,1,2.80,Graduado,333,No,No,Si,No
1000,60,35,180000,92120,1,1.50,Graduado,0,No,No,Si,Si
1001,59,35,80000,92691,4,0.70,No graduado,91,No,Si,No,No
1002,57,32,550000,90717,4,2.10,No graduado,108,No,No,Si,No
1003,46,20,850000,95617,2,0.40,Profesional,0,No,No,No,No
1004,25,1,620000,94720,4,0.00,No graduado,229,No,No,Si,No
1005,53,23,650000,95054,4,2.00,Profesional,0,No,No,Si,No
1006,38,12,1380000,95112,2,0.00,No graduado,0,No,Si,Si,No
1007,63,38,1030000,91103,1,2.50,No graduado,0,No,No,Si,No
1008,44,19,990000,95064,3,3.50,Profesional,357,Si,No,No,No
1009,50,24,1520000,92220,1,7.30,No graduado,0,No,No,Si,No
1010,28,3,250000,91330,2,0.90,Profesional,140,No,No,Si,No
1011,27,3,980000,95616,2,2.50,No graduado,361,No,Si,Si,Si
1012,52,27,390000,94304,2,0.70,Graduado,166,No,No,Si,No
1013,50,25,400000,95820,1,1.30,Graduado,0,No,No,Si,Si
1014,39,13,580000,94551,3,2.10,No graduado,169,No,No,Si,No
1015,50,26,1920000,90245,2,1.80,Profesional,301,Si,No,Si,Si
1016,60,34,620000,94303,1,0.80,Graduado,0,No,No,No,No
1017,30,5,690000,94720,1,0.80,Graduado,0,No,Si,Si,No
1018,31,5,400000,94305,4,1.30,Profesional,170,No,No,No,No
1019,39,15,610000,90018,2,0.60,Profesional,127,No,No,No,No
1020,29,3,300000,91745,4,0.30,Graduado,157,No,No,No,No
1021,54,29,290000,90071,1,1.50,Graduado,97,No,No,Si,No
1022,35,8,410000,92612,2,1.00,Graduado,0,No,No,Si,Si
1023,27,3,1180000,95605,1,3.30,Graduado,0,Si,No,Si,No
1024,45,20,1090000,94117,1,7.00,No graduado,366,No,No,Si,No
1025,58,33,1220000,93711,4,0.20,Graduado,0,Si,No,Si,No
1026,62,37,500000,94545,3,1.50,No graduado,169,No,No,Si,No
1027,28,4,430000,95616,3,0.10,Graduado,0,No,No,Si,No
1028,32,7,1080000,94550,1,4.60,No graduado,0,No,Si,No,No
1029,29,4,1100000,92096,4,2.50,Profesional,0,Si,No,No,No
1030,41,17,200000,94720,1,1.40,Profesional,0,No,No,Si,No
1031,61,35,1120000,90024,4,1.70,Profesional,0,No,No,No,Si
1032,56,32,250000,95403,1,0.10,Graduado,136,No,No,Si,No
1033,37,12,420000,94720,3,0.70,Graduado,0,No,No,Si,Si
1034,60,34,290000,95973,2,0.30,No graduado,0,No,No,Si,No
1035,49,23,840000,90095,3,2.10,No graduado,134,No,Si,Si,No
1036,43,17,810000,94720,4,2.60,Profesional,0,No,Si,Si,No
1037,53,28,550000,94720,4,0.90,No graduado,119,No,No,Si,Si
1038,35,11,400000,93106,1,2.40,Graduado,0,No,Si,Si,No
1039,56,30,1450000,95831,4,5.70,Graduado,0,Si,No,Si,Si
1040,41,16,1750000,94304,2,1.10,Profesional,0,Si,No,Si,No
1041,36,6,780000,91107,4,1.80,Profesional,163,No,No,No,No
1042,56,32,510000,92780,4,1.50,No graduado,0,No,No,No,No
1043,64,34,500000,95616,4,1.67,Profesional,0,No,No,Si,No
1044,51,27,210000,95630,3,0.40,No graduado,0,No,No,Si,No
1045,49,24,790000,95827,1,0.20,Graduado,83,No,No,Si,Si
1046,43,18,840000,92096,1,4.00,Profesional,0,No,No,No,No
1047,51,26,340000,94105,4,0.40,Graduado,0,No,No,No,No
1048,55,31,730000,94143,4,1.60,Graduado,0,No,No,No,No
1049,62,37,900000,95747,3,0.50,No graduado,0,No,No,Si,No
1050,35,10,230000,94501,4,0.20,Profesional,0,No,No,Si,No
1051,53,27,1450000,90095,2,6.10,Profesional,294,Si,No,Si,Si
1052,33,7,540000,92886,4,0.20,No graduado,141,No,Si,No,No
1053,43,17,490000,95812,3,2.20,Graduado,103,No,No,Si,Si
1054,58,32,510000,95819,1,2.80,Graduado,0,No,No,Si,No
1055,63,38,80000,95136,4,0.60,Graduado,0,No,No,Si,No
1056,31,6,620000,95630,1,1.00,No graduado,0,No,Si,Si,No
1057,36,6,250000,95020,1,0.67,Profesional,0,No,No,Si,No
1058,30,0,630000,95503,2,1.75,Profesional,0,No,No,Si,No
1059,59,34,240000,94105,2,0.20,Profesional,86,No,No,Si,No
1060,28,2,110000,91203,1,0.10,Graduado,0,No,No,Si,Si
1061,59,34,230000,93111,1,0.10,No graduado,0,No,No,No,Si
1062,47,22,330000,91105,1,1.40,Profesional,0,No,No,Si,No
1063,47,21,830000,92220,1,3.80,No graduado,97,Si,No,No,No
1064,56,30,390000,90024,3,1.40,No graduado,131,No,No,No,Si
1065,41,17,1380000,95008,3,6.90,Graduado,0,Si,No,Si,No
1066,25,1,1130000,90401,3,2.50,No graduado,0,No,No,No,Si
1067,30,5,1250000,90016,4,0.50,Profesional,0,Si,No,Si,No
1068,50,24,1950000,95035,1,1.70,No graduado,0,No,No,No,No
1069,34,9,1050000,90035,3,1.20,Profesional,0,No,Si,No,No
1070,44,18,750000,91203,2,3.50,No graduado,0,Si,No,Si,No
1071,36,9,400000,90840,2,1.00,Graduado,0,No,No,Si,No
1072,39,14,610000,94005,3,0.50,Profesional,137,No,No,Si,No
1073,54,24,750000,90089,2,4.50,Profesional,0,No,No,No,No
1074,33,8,1220000,94583,1,0.00,No graduado,0,No,No,Si,Si
1075,39,14,750000,95762,3,3.00,No graduado,0,No,No,No,Si
1076,41,15,590000,90024,4,0.20,Profesional,0,No,No,No,No
1077,40,13,240000,94608,3,1.00,Graduado,0,No,No,Si,No
1078,29,3,1750000,90095,3,3.30,Profesional,329,Si,No,Si,No
1079,51,27,390000,92709,2,0.80,No graduado,182,No,No,No,Si
1080,54,30,1450000,94591,2,6.80,No graduado,0,No,Si,No,No
1081,47,22,240000,90717,4,0.40,Graduado,142,No,No,Si,No
1082,53,28,200000,94080,3,0.10,Graduado,0,No,No,No,No
1083,30,5,850000,94115,1,2.60,Graduado,0,No,No,Si,No
1084,28,3,650000,95014,3,2.60,Profesional,0,No,Si,No,No
1085,60,35,1910000,93407,4,5.60,Profesional,0,Si,No,No,No
1086,51,26,110000,92612,2,0.00,No graduado,0,No,Si,No,No
1087,63,37,400000,94024,2,1.00,Profesional,167,No,No,No,No
1088,38,13,540000,92028,3,0.70,Graduado,196,No,No,No,No
1089,59,35,950000,95521,1,3.80,No graduado,0,No,No,Si,Si
1090,53,29,940000,92103,4,1.00,Graduado,0,No,No,Si,No
1091,31,5,790000,94720,4,2.20,Graduado,0,No,No,No,No
1092,41,17,480000,94720,3,0.30,Profesional,0,No,No,Si,Si
1093,25,1,700000,92120,4,2.60,No graduado,0,No,Si,Si,No
1094,27,3,400000,94550,3,0.10,Graduado,111,No,No,Si,No
1095,50,24,440000,94086,4,1.80,No graduado,0,No,No,Si,Si
1096,50,25,430000,92129,1,1.40,Profesional,137,No,No,Si,No
1097,43,18,290000,90245,1,0.30,Profesional,0,No,No,Si,No
1098,50,24,1880000,92007,3,1.30,No graduado,184,Si,No,No,Si
1099,46,20,1140000,90720,1,0.00,No graduado,0,No,No,Si,Si
1100,30,6,520000,92717,3,0.70,Graduado,0,No,No,Si,No
1101,42,16,130000,91711,1,0.20,No graduado,0,No,No,Si,No
1102,42,17,950000,90095,3,0.50,Profesional,0,No,No,No,No
1103,29,3,840000,95023,1,2.90,Profesional,0,No,No,Si,No
1104,38,14,490000,90037,1,1.80,No graduado,0,No,No,No,No
1105,51,25,1810000,93106,1,1.70,No graduado,0,No,No,Si,Si
1106,35,10,1820000,95051,1,0.30,Graduado,229,Si,No,Si,Si
1107,37,13,700000,92101,2,2.70,No graduado,0,No,No,No,No
1108,47,21,790000,94110,3,1.10,No graduado,185,No,No,Si,Si
1109,55,29,610000,95051,4,2.80,Graduado,0,No,No,Si,Si
1110,65,41,1210000,92126,2,2.10,No graduado,0,No,No,Si,No
1111,58,33,340000,92028,3,0.20,No graduado,83,No,No,Si,No
1112,54,28,1830000,90071,1,1.00,No graduado,442,No,No,No,No
1113,52,28,510000,94949,1,1.60,Profesional,0,No,Si,No,Si
1114,28,2,700000,90630,3,0.30,Profesional,0,No,No,No,Si
1115,32,8,390000,95827,1,1.70,No graduado,0,No,No,Si,Si
1116,51,24,840000,94117,3,2.00,Graduado,0,No,No,No,No
1117,43,18,1220000,92056,1,7.00,No graduado,0,No,No,Si,Si
1118,42,18,1450000,94709,1,1.70,No graduado,132,No,No,Si,Si
1119,42,17,980000,95670,2,0.40,No graduado,0,No,No,Si,Si
1120,41,16,790000,96064,1,1.00,Profesional,233,No,No,Si,No
1121,34,8,380000,94304,2,2.00,Profesional,0,No,No,Si,Si
1122,30,6,490000,91330,3,0.70,Graduado,196,No,No,No,Si
1123,32,7,380000,90041,1,1.00,No graduado,0,No,No,Si,No
1124,46,20,910000,92521,4,2.60,Profesional,0,No,No,No,No
1125,38,12,290000,94022,4,0.20,No graduado,0,No,No,No,Si
1126,37,13,1720000,95003,2,6.50,No graduado,0,No,No,No,No
1127,32,8,1040000,95192,2,3.70,No graduado,0,Si,No,No,Si
1128,35,9,580000,91101,1,2.50,No graduado,0,No,No,Si,Si
1129,30,5,1710000,94025,2,1.90,Graduado,0,Si,No,No,No
1130,30,4,730000,94305,3,3.30,No graduado,0,Si,No,Si,Si
1131,58,32,1910000,94402,1,2.90,No graduado,0,No,No,No,No
1132,57,27,900000,91709,2,4.50,Profesional,0,No,No,Si,No
1133,34,9,550000,94920,3,2.30,No graduado,0,No,Si,Si,Si
1134,31,4,280000,94126,1,2.00,Graduado,0,No,No,No,No
1135,39,14,420000,95616,1,2.50,Profesional,0,No,No,Si,No
1136,57,33,90000,93106,1,0.10,Graduado,91,No,Si,Si,No
1137,47,21,650000,94086,1,1.50,Graduado,0,No,Si,Si,No
1138,51,26,1340000,90230,4,4.50,Profesional,0,Si,Si,Si,No
1139,30,6,830000,93101,4,3.40,No graduado,0,No,Si,Si,No
1140,55,28,380000,95616,3,1.00,Graduado,0,No,No,Si,No
1141,32,6,130000,94611,4,0.30,No graduado,0,No,No,Si,Si
1142,32,7,1430000,91365,3,2.90,Profesional,0,Si,No,Si,No
1143,44,20,750000,91335,4,1.90,No graduado,0,No,No,No,No
1144,33,7,1200000,94022,1,3.20,Profesional,0,Si,No,Si,No
1145,49,24,910000,95822,1,2.80,Graduado,0,No,No,No,No
1146,32,6,990000,92101,2,1.50,Profesional,0,No,No,No,Si
1147,31,7,710000,90034,1,0.10,No graduado,78,No,Si,No,No
1148,37,13,1110000,91367,1,0.80,Graduado,0,No,No,No,No
1149,41,15,1080000,90034,1,5.20,No graduado,0,No,No,No,No
1150,56,32,1580000,91763,1,7.40,No graduado,0,No,No,No,No
1151,55,31,810000,95521,3,2.67,No graduado,0,No,No,Si,No
1152,49,23,120000,94720,2,0.10,Profesional,0,No,Si,Si,No
1153,63,37,210000,95831,2,0.40,No graduado,0,No,No,Si,No
1154,55,30,550000,92821,4,0.90,No graduado,215,No,No,Si,Si
1155,59,35,420000,93555,1,1.80,Profesional,0,No,No,Si,No
1156,41,16,810000,92653,2,0.40,No graduado,0,No,No,No,Si
1157,49,25,130000,94305,4,0.20,No graduado,87,No,No,No,No
1158,48,23,1320000,94998,1,0.60,No graduado,157,No,No,No,No
1159,41,16,990000,92660,1,1.00,Profesional,0,No,No,Si,No
1160,50,26,230000,92028,4,0.20,No graduado,0,No,No,No,Si
1161,28,1,400000,95134,1,2.00,Graduado,0,No,Si,Si,No
1162,36,11,1810000,94309,3,1.40,No graduado,0,Si,No,No,No
1163,38,14,1120000,94501,2,2.20,No graduado,394,No,No,No,No
1164,34,9,1380000,94720,2,7.80,No graduado,227,No,No,Si,No
1165,41,17,940000,90071,3,3.80,Graduado,327,Si,Si,Si,No
1166,43,19,1130000,91203,1,1.70,No graduado,0,No,No,No,No
1167,30,5,1120000,91711,4,5.00,Graduado,0,Si,No,No,Si
1168,37,12,1900000,92354,2,3.00,No graduado,475,No,No,Si,No
1169,62,37,380000,91706,1,1.10,Profesional,0,No,No,Si,No
1170,40,16,320000,92110,1,1.40,Profesional,158,No,No,Si,No
1171,35,10,1040000,91320,3,0.60,Graduado,0,No,No,No,Si
1172,64,40,430000,95014,1,1.90,Graduado,0,No,No,Si,No
1173,49,24,450000,92104,3,1.70,Graduado,0,No,Si,Si,No
1174,24,-1,350000,94305,2,1.70,Graduado,0,No,No,No,No
1175,36,10,420000,93106,4,1.20,Graduado,0,No,No,Si,Si
1176,29,4,580000,91006,1,0.80,Graduado,0,No,No,Si,Si
1177,29,3,1030000,90049,4,3.40,No graduado,0,Si,No,Si,No
1178,28,3,710000,90405,1,3.30,Graduado,149,Si,Si,Si,No
1179,33,7,140000,94025,1,0.40,Graduado,98,No,No,Si,No
1180,36,11,980000,90291,3,1.20,Profesional,0,No,Si,No,Si
1181,42,17,900000,90504,1,0.10,Graduado,0,No,No,No,Si
1182,25,0,650000,90095,4,0.20,No graduado,0,No,Si,No,No
1183,28,2,190000,94720,4,0.40,No graduado,0,No,No,Si,Si
1184,50,25,350000,94105,3,1.70,Graduado,0,No,No,Si,Si
1185,34,9,710000,90041,4,1.30,No graduado,0,No,No,Si,No
1186,43,19,310000,94025,3,0.50,No graduado,0,No,No,No,No
1187,62,38,430000,94928,4,1.20,Graduado,0,No,No,Si,No
1188,61,36,240000,94309,1,1.50,Graduado,87,No,Si,No,No
1189,45,19,580000,94305,2,0.40,Profesional,0,No,Si,No,Si
1190,42,17,1150000,92717,2,0.40,No graduado,0,No,No,Si,No
1191,39,15,1680000,93117,2,8.00,No graduado,152,No,Si,No,No
1192,29,5,1280000,94111,1,1.50,No graduado,0,No,No,Si,Si
1193,45,20,1380000,92870,1,7.00,No graduado,0,No,No,No,Si
1194,58,32,810000,92121,3,1.70,Graduado,0,No,No,Si,Si
1195,29,3,410000,94305,4,1.30,Profesional,0,No,No,Si,No
1196,32,7,1230000,92407,2,2.90,Graduado,0,Si,No,Si,No
1197,37,13,710000,94609,2,2.70,No graduado,94,No,No,Si,No
1198,48,23,80000,92866,1,0.40,Profesional,0,No,No,No,Si
1199,40,14,420000,94801,2,0.70,No graduado,101,No,No,Si,No
1200,29,4,620000,92064,2,2.50,No graduado,184,No,No,Si,No
1201,36,12,220000,92507,4,1.00,No graduado,91,No,Si,Si,No
1202,35,8,380000,95060,4,1.00,Graduado,0,No,No,Si,No
1203,35,11,240000,95521,4,0.40,Graduado,0,No,No,No,No
1204,62,37,500000,91311,3,2.40,No graduado,0,No,No,Si,No
1205,26,1,1900000,91604,4,1.30,Graduado,197,Si,No,Si,No
1206,32,7,940000,91361,2,3.10,No graduado,0,No,No,Si,No
1207,63,37,1650000,95035,4,5.10,Profesional,0,Si,No,No,No
1208,38,12,430000,94301,4,1.20,Graduado,0,No,No,No,Si
1209,50,26,480000,91711,1,1.60,Graduado,0,No,No,No,Si
1210,46,21,520000,91304,3,2.70,Graduado,228,No,No,No,Si
1211,50,24,840000,93943,4,4.90,No graduado,0,No,No,Si,No
1212,61,36,1310000,92407,1,0.90,No graduado,0,No,No,Si,No
1213,34,8,440000,91101,4,0.20,No graduado,0,No,No,No,No
1214,27,2,780000,93943,4,0.20,No graduado,87,No,No,No,No
1215,61,36,150000,92521,4,0.40,Graduado,0,No,No,No,No
1216,45,20,380000,94550,4,1.90,Profesional,144,No,No,Si,Si
1217,50,25,840000,91107,1,1.30,Profesional,0,No,Si,Si,No
1218,44,20,1220000,94305,1,0.30,No graduado,0,No,No,Si,No
1219,62,36,980000,92122,2,2.80,No graduado,0,No,No,No,No
1220,45,18,800000,92407,3,2.67,Graduado,0,No,No,No,No
1221,41,17,1650000,94143,2,8.00,No graduado,0,No,No,Si,No
1222,30,5,1210000,94132,2,3.30,No graduado,0,No,No,No,Si
1223,61,37,200000,90011,3,0.40,Graduado,94,No,No,No,No
1224,45,19,110000,96150,1,0.20,No graduado,91,No,No,No,No
1225,59,35,450000,94920,1,1.80,Profesional,0,No,No,Si,No
1226,30,6,1180000,94534,2,2.80,Graduado,0,Si,No,No,No
1227,60,36,140000,90089,2,0.30,No graduado,109,No,No,Si,Si
1228,39,13,300000,92122,3,0.20,Graduado,0,No,No,No,No
1229,56,30,450000,92870,1,0.20,No graduado,98,No,No,No,No
1230,56,32,800000,94596,3,2.67,No graduado,0,No,No,Si,No
1231,27,1,250000,94920,4,0.30,Graduado,0,No,No,Si,Si
1232,66,41,1440000,94306,1,2.50,No graduado,0,No,Si,Si,Si
1233,43,19,840000,92646,4,0.20,Profesional,297,No,No,Si,No
1234,53,29,220000,93943,2,0.40,No graduado,0,No,No,Si,No
1235,44,18,330000,90405,3,1.50,No graduado,0,No,No,Si,Si
1236,54,28,600000,94110,4,2.60,Profesional,0,No,No,No,No
1237,31,6,810000,95762,4,2.20,Graduado,116,No,No,Si,No
1238,38,13,1690000,92093,1,6.80,Profesional,0,Si,No,Si,Si
1239,28,2,630000,91116,2,1.60,Profesional,0,No,No,Si,No
1240,51,26,120000,90245,2,0.70,Profesional,109,No,No,Si,Si
1241,52,27,150000,91320,4,0.80,No graduado,101,No,No,No,No
1242,64,38,390000,92120,1,0.50,Profesional,0,No,Si,Si,Si
1243,29,4,440000,91380,4,2.00,Graduado,0,No,No,Si,No
1244,34,10,1100000,92697,1,4.00,No graduado,0,No,No,Si,No
1245,33,8,1300000,94720,3,6.30,Graduado,99,Si,No,No,Si
1246,46,21,410000,94025,1,1.40,Profesional,128,No,No,Si,No
1247,48,22,590000,91775,1,1.40,Profesional,241,No,No,Si,No
1248,52,28,390000,94606,2,0.80,No graduado,0,No,No,Si,No
1249,44,19,350000,94305,4,0.00,Graduado,0,No,No,Si,No
1250,51,27,800000,90032,1,2.60,Graduado,0,No,No,Si,Si
1251,47,20,810000,94301,1,2.67,Graduado,0,No,No,Si,No
1252,39,13,310000,95120,2,0.80,Profesional,0,No,No,No,No
1253,42,17,930000,92182,4,1.90,Profesional,0,No,No,No,No
1254,57,33,450000,92346,4,1.50,No graduado,204,No,No,Si,No
1255,36,12,400000,91101,2,0.60,Profesional,0,No,No,Si,Si
1256,27,1,800000,95354,2,1.60,Profesional,185,No,No,Si,Si
1257,31,7,200000,92115,1,0.40,Profesional,0,No,No,Si,No
1258,63,37,410000,93014,1,0.50,Profesional,0,No,No,No,Si
1259,34,8,310000,91203,1,0.30,No graduado,104,No,No,Si,Si
1260,52,27,350000,95616,4,0.20,Graduado,0,No,No,Si,No
1261,57,31,400000,91107,3,1.40,Profesional,137,No,No,Si,Si
1262,63,39,840000,94901,1,1.80,Profesional,0,No,No,No,No
1263,26,1,530000,94720,2,1.60,Profesional,0,No,No,Si,No
1264,35,5,850000,92870,4,4.00,Profesional,0,No,No,Si,No
1265,58,33,1380000,94546,2,3.90,No graduado,0,No,No,Si,No
1266,32,2,710000,95014,2,1.75,Profesional,108,No,No,No,No
1267,64,39,1130000,92121,1,0.80,Profesional,0,No,No,No,Si
1268,50,23,230000,94720,2,1.00,Graduado,0,No,Si,No,No
1269,34,9,620000,92677,3,2.30,No graduado,0,No,No,No,No
1270,36,11,140000,92673,4,0.20,Profesional,100,No,No,Si,Si
1271,43,18,600000,91311,2,2.20,Profesional,0,No,No,No,Si
1272,28,4,940000,92115,3,0.80,No graduado,236,No,No,Si,No
1273,64,39,830000,95616,3,1.80,Graduado,0,No,No,Si,No
1274,60,35,1300000,95741,3,6.30,Profesional,437,Si,No,Si,Si
1275,62,37,610000,93117,4,1.70,No graduado,0,No,No,No,No
1276,27,2,920000,95616,2,3.10,No graduado,178,No,No,Si,No
1277,42,16,200000,95351,2,0.80,Profesional,117,No,No,Si,Si
1278,45,20,1940000,92110,2,8.80,No graduado,428,No,No,No,No
1279,36,10,740000,94305,1,2.50,No graduado,0,No,No,No,Si
1280,48,22,840000,90024,2,0.40,Profesional,145,No,No,No,No
1281,65,40,980000,95064,3,1.80,Graduado,333,No,No,No,No
1282,39,15,520000,92093,3,2.33,No graduado,0,No,No,Si,No
1283,51,26,550000,93955,1,1.30,Graduado,236,No,No,No,Si
1284,30,6,640000,94305,4,3.40,No graduado,117,No,No,No,No
1285,65,40,1280000,90740,1,2.50,No graduado,162,No,No,Si,No
1286,38,13,1130000,94720,4,1.70,Graduado,0,Si,No,No,Si
1287,29,3,500000,94010,3,1.10,Graduado,0,No,No,No,Si
1288,42,18,540000,94010,4,2.20,Graduado,0,No,No,No,No
1289,63,38,1290000,91326,1,0.90,No graduado,366,No,No,Si,No
1290,46,21,820000,94523,4,0.40,No graduado,0,No,No,No,No
1291,62,38,1000000,90277,4,1.70,Graduado,0,No,No,Si,No
1292,58,34,440000,94111,4,2.20,No graduado,0,No,Si,No,No
1293,56,30,1640000,94610,4,0.50,Graduado,234,Si,No,Si,Si
1294,56,31,810000,92373,2,3.70,No graduado,121,No,No,Si,Si
1295,34,10,710000,95003,1,0.10,No graduado,257,No,No,Si,Si
1296,42,17,280000,92866,1,0.50,Profesional,90,No,No,No,No
1297,30,6,800000,92399,3,1.50,No graduado,219,No,No,Si,No
1298,61,35,900000,95814,4,1.90,Graduado,0,No,No,Si,No
1299,38,14,740000,90274,1,3.60,Graduado,0,No,No,Si,Si
1300,50,25,140000,95762,2,0.70,Profesional,0,No,Si,Si,No
1301,61,36,230000,91754,2,0.50,Graduado,103,No,No,Si,No
1302,41,17,1530000,92121,1,1.70,No graduado,337,No,No,No,Si
1303,42,16,380000,94087,3,0.90,Profesional,0,No,No,No,No
1304,29,5,1120000,94720,2,2.00,Graduado,382,No,Si,No,No
1305,51,26,1450000,90025,1,8.10,No graduado,397,No,No,No,Si
1306,32,6,280000,94025,2,0.30,Graduado,88,No,No,Si,No
1307,34,9,310000,94115,4,1.10,Profesional,0,No,No,Si,Si
1308,26,2,1950000,94546,1,6.33,No graduado,0,No,No,Si,Si
1309,54,24,500000,92037,3,2.00,Profesional,0,No,No,Si,Si
1310,38,14,710000,95136,4,2.00,Profesional,0,No,No,No,No
1311,62,36,210000,95616,3,0.30,Profesional,0,No,No,No,No
1312,37,11,350000,90044,2,0.80,Profesional,125,No,No,No,No
1313,46,21,420000,92691,1,2.40,No graduado,0,No,No,Si,Si
1314,52,27,780000,92008,4,3.60,Profesional,141,No,No,Si,No
1315,32,6,730000,94305,4,2.20,Graduado,0,No,No,No,No
1316,49,25,530000,95134,2,1.00,Profesional,181,No,No,No,No
1317,28,3,510000,94086,2,1.60,Profesional,123,No,No,No,No
1318,55,30,400000,95521,2,2.30,Profesional,0,No,No,Si,No
1319,52,26,1780000,94234,1,1.00,No graduado,0,No,No,No,No
1320,32,6,350000,94005,2,0.30,No graduado,0,No,No,No,Si
1321,31,7,1920000,90250,1,0.00,Graduado,0,Si,No,Si,No
1322,27,3,1230000,95138,1,5.40,No graduado,0,No,No,No,No
1323,32,5,480000,94022,2,1.67,Graduado,0,No,Si,Si,Si
1324,52,26,450000,91604,3,0.60,Graduado,0,No,No,No,No
1325,52,28,150000,95064,1,0.20,No graduado,0,No,No,Si,No
1326,50,24,790000,94304,1,0.30,No graduado,120,No,No,Si,No
1327,32,5,630000,90024,4,2.00,Graduado,0,No,Si,Si,No
