Marca temporal,1. Utiliza habitualmente la página web de ATM,2. Le resultó simple la creación de su cuenta en Mis Trámites,3. Le resulta comprensible la sección de Mis Trámites,4. El trámite que realizó dentro de Mis Trámites fue resuelto de forma:,5. La información brindada por la página web de ATM es:,6. El boleto para pagar el año 2020 lo obtuvo por:,Agregue aquí su sugerencia
21/12/2020 12:45:49,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 12:22:20,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,Por ahora no tengo
21/12/2020 11:55:07,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 11:46:45,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
21/12/2020 11:36:31,NO,NO,NO,Nada satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 11:35:17,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,comenzé un trámite por EE el 16 oct 2020 y la última tarea finalizada es el 20 oct 2020
21/12/2020 11:21:25,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 11:10:28,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 11:09:01,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 10:54:49,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 10:49:45,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 10:49:29,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
21/12/2020 10:35:13,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,"La pagina se cae con frecuencia, al información de la cartografía de catastro esta muy desactualizada y en secano nula "
21/12/2020 10:18:56,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 10:12:24,SI,SI,SI,Nada satisfactoria,Buena,lo pidio la ocntadora,"Deberían notificar, cuando hay un error o no procesan un trámite, he cargado 3 veces para pagar un sellado"
21/12/2020 10:08:21,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,...
21/12/2020 9:24:18,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
21/12/2020 8:18:34,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Presione va con ""S""... cambiarlo por favor!"
20/12/2020 22:17:47,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
20/12/2020 22:15:05,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
20/12/2020 10:48:50,NO,NO,NO,Poco satisfactoria,Regular,Entrega en su domicilio real,"La verdad que se me torno confuso todo, no puedo imprimir mi comprobante de pago de mis ingresos bruto y estoy hace tiempo así, necesito ayuda por favor, gracias"
19/12/2020 21:16:47,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
19/12/2020 18:56:51,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
19/12/2020 13:04:35,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
19/12/2020 8:43:30,SI,SI,SI,Poco satisfactoria,Regular,Tuve que sacar turno e ir personalmente,"Que los montos actualizados de las boletas se puedan bajar fácilmente,por que se descargan con el monto anterior y no el actualizado generando con esto una deuda de centavos que se van aumentando. Y cuando uno cancela, no figura deuda, pero no extiende el certificado de libre deuda. Y que se puedan escanear los documentos o formularios en cualquier programa y/o subir o adjuntar con cualquier programa, sin que sea exclusivamente en PDF"
18/12/2020 22:30:51,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
18/12/2020 19:20:13,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
18/12/2020 18:29:09,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Sería bueno que unifiquen el criterio de informe de avalúos de inmuebles. Más de una vez que he completado sellos SAREPE para pagar impueso de sellos- como escribana-, me ha arrojado un avalúo muy superior al de la página ATM Avalúos"
18/12/2020 17:20:41,SI,NO,NO,Poco satisfactoria,Mala,Descarga de la página web de ATM,DEBEN SIMPLIFICAR LA PÁGINA Y VOLVER A TRABAJAR PRESENCIAL. HAY MUCHOS INCONVENIENTES SIN RESOLVER.
18/12/2020 16:01:06,SI,SI,SI,Nada satisfactoria,Muy Buena,Descarga de la página web de ATM,"El tema de los sellados sería mas sencillos si aceptaran otros formatos, no solo pdf"
18/12/2020 15:44:17,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
18/12/2020 14:20:59,SI,NO,SI,Satisfactoria,Regular,BOLSA DE COMERCIO,DEBERIA HABER MAS INFORMACION EN CASO DE APREMIO DE LOS AGENTES RECAUDADORES Y UNA CELERIDAD EN EL LEVANTAMIENTO DE INHIBICIONES
18/12/2020 13:58:16,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
18/12/2020 13:43:36,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
18/12/2020 13:43:00,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
18/12/2020 12:42:35,NO,SI,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,No atienden jamás el teléfono y no se como hacer un reclamo 
18/12/2020 12:37:20,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
18/12/2020 11:31:51,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
18/12/2020 11:23:12,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,"a veces, un poco mas de celeridad en las respuestas
"
18/12/2020 11:02:48,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,DEMORAN MUCHO EN RESOLVER LOS EXPEDIENTES EN MIS TRAMITES.
18/12/2020 10:16:03,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
18/12/2020 10:07:20,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
18/12/2020 9:20:58,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,
18/12/2020 7:30:17,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
18/12/2020 0:44:55,NO,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
17/12/2020 22:23:41,SI,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
17/12/2020 21:55:38,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,A la hora de adjuntar documentos se puede aclarar de que se trata
17/12/2020 20:36:13,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 20:14:35,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 20:06:08,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 19:57:26,SI,NO,SI,Satisfactoria,Regular,Descarga de la página web de ATM,MEJOREN NSIT!!!!
17/12/2020 19:35:04,SI,NO,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 19:23:15,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 19:18:14,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"No llega por email el aviso del que el sellado ya está completo, y luego cobran intereses y limitan el Cumplimiento fiscal, uno no puede conocer que demora tiene el tramite. Gracias"
17/12/2020 19:09:27,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,EXCELENTE LA PAGINA
17/12/2020 18:30:29,NO,NO,NO,Poco satisfactoria,Mala,Entrega en su domicilio real,"mejorar la calidad de atencion 
"
17/12/2020 16:56:58,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 16:52:20,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 16:07:47,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 15:58:05,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 15:14:13,SI,SI,NO,Nada satisfactoria,Mala,Descarga de la página web de ATM,
17/12/2020 15:12:43,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 14:37:58,SI,SI,SI,Satisfactoria,Muy Buena,Aún no he realizado ningún pago.,Por favor Aclarar cuando se le da de alta a una sociedad que el primer inicio para crear la cuenta es a través del representante y no directamente con el CUIT de la Sociedad. A muchos contribuyentes se les dice que vayan a crear cuenta pero no se los informa al respecto de que primero hay que crear el del Representante. Gracias!
17/12/2020 14:26:13,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 13:18:36,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
17/12/2020 13:12:11,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 13:08:19,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 13:08:03,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 12:52:04,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 12:30:59,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 12:29:01,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"no pude hacerle el seguimiento a mi Exp Electrónico, no lo buscaba"
17/12/2020 12:01:18,SI,SI,SI,Muy satisfactoria,Muy Buena,Recepción por correo electrónico,
17/12/2020 11:55:10,SI,SI,SI,Satisfactoria,Regular,Solo soy contribuyente IIBB,
17/12/2020 11:19:11,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,Se ha mejorado bastante el tiempo de resolución de los expedientes pero sigue siendo lento ya que una semana es demasiada espera para temas urgentes
17/12/2020 11:18:27,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 10:58:49,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,DEBERÍAN CORREGIR SELLADOS WEB YA QUE NO TOMA LA EXENCIÓN DEL 50% DE MALARGUE Y DEMORAN MUCHOS LOS TRÁMITES DE SELLADO POR LA OFICINA VIRTUAL
17/12/2020 10:44:18,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,
17/12/2020 10:36:01,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
17/12/2020 9:22:18,SI,SI,SI,Poco satisfactoria,Buena,NO HICE ESE TRAMITE,MUY COMPLICADO PAGAR IMP SELLOS. SE PAGA Y ENCIMA ES COMPLICADO
17/12/2020 8:58:50,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 8:58:08,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
17/12/2020 8:28:35,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
17/12/2020 7:50:00,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 20:31:59,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 19:51:21,SI,SI,NO,Poco satisfactoria,Buena,Descarga de la página web de ATM,QUISIERA QUE SE EXPLIQUE MEJOR LO QUE HAY QUE HACER.
16/12/2020 19:48:26,SI,SI,SI,Nada satisfactoria,Regular,Descarga de la página web de ATM,"Debo completar los campos para solicitud de sallado y nunca me dan una respuesta concreta, me dirigi a la sucursal de Lujan y no dan respuestas acertadas. Una pena"
16/12/2020 19:46:09,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 19:24:02,NO,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,la encuesta no me soluciono nada porque recien se inicia el tramite
16/12/2020 19:16:43,SI,SI,NO,Nada satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 18:41:04,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 18:28:18,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,falta claridad
16/12/2020 17:57:57,SI,NO,NO,Nada satisfactoria,Regular,Descarga de la página web de ATM,
16/12/2020 17:31:06,NO,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 17:23:27,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,
16/12/2020 17:20:40,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,el formato de anexo ley iompositiva muy engorroso
16/12/2020 17:13:36,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 16:43:19,SI,SI,SI,Nada satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 16:03:22,NO,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 16:00:55,NO,SI,SI,Muy satisfactoria,Muy Buena,No se utiliza,
16/12/2020 15:35:26,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 15:11:05,SI,NO,SI,Satisfactoria,Regular,Descarga de la página web de ATM,"La imputación de pagos es pésima. Nos ha pasado que hemos pagado varios Impuestos y nos figura que no (por ej que se debe cuota 1/2/3/4 y esta pagado anual). Dan mil vueltas para ver algo que se soluciona viendo la cuenta corriente. Por ese motivo no podemos obtener Constancia de Cumplimiento Fiscal cuando la necesitamos. Mas de una vez sucedió lo mismo. Se inicia expediente, se envía nota, se envían los comprobantes y demora porque pasa el expediente de persona en persona de forma innecesaria. Tenemos créditos de dominios que no son ya nuestros y nos dijeron que reclamemos nuevamente en 2021 cuando uds deberían asentar el mismo. Es agotador tener que iniciar expediente y perder tiempo por estas cosas."
16/12/2020 15:09:24,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 14:51:41,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 14:39:10,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 13:56:23,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 13:39:10,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 13:21:34,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 13:06:21,NO,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,"Hay problemas con el 148. Tal vez hay poca gente atendiendo. Hemos tenido que estar más de media hora al teléfono para que nos atiendan. Entiendo que deberían mejorar eso. Desde ya, gracias. Un abrazo fraternal "
16/12/2020 12:56:59,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"
las resoluciones deben ser mas agiles"
16/12/2020 12:51:43,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,"Deberían actualizar las noticias regularmente de como manejar los tramites, ya que cambian constantemente sin previo aviso y en cuanto a monotributo unificado ya debería estar actualizado de manera espontanea "
16/12/2020 12:25:58,NO,SI,NO,Satisfactoria,Buena,"utilicé la pagina para sellar un contrato de locación de inmueble, que no están sellandose personalmente.",
16/12/2020 12:19:28,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,Mejorar tiempo de respuesta mis trámites
16/12/2020 12:16:16,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
16/12/2020 12:12:50,SI,SI,NO,Poco satisfactoria,Buena,OTRO,LA SECCION MIS TRAMITES ES PESIMA
16/12/2020 12:00:43,SI,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
16/12/2020 11:50:49,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Es necesario atención telefónica o en todo caso respuesta vía mail por parte de ATM, desde el inicio de la pandemia no tenemos respuesta a varias consultas efectuadas por mail."
16/12/2020 11:39:05,SI,SI,SI,Poco satisfactoria,Buena,Recepción por correo electrónico,
16/12/2020 11:33:41,NO,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,Pago de Impuesto de Sellos por Hipoteca
16/12/2020 11:25:30,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 10:30:58,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,"ESTIMADOS, LOS ESCRIBANOS NECESITAMOS ACCEDER DE MANERA INMEDIATA A UN APLICATRIVO PARA SABER LAS DEUDAS DE IMPUESTO INMOBILIARIO DE LOS INMUEBLES DE NUESTROS CLIENTES, DADO QUE LA CONSULTA ES DIARIA, Y NO PODEMOS CONCURRIR PERSONALMENTE NI ES PRACTICO PEDIR TURNO DIFERIDO, POR QUE TRABAJAMOS EN LOS MISMOS HORARIOS QUE DICHAS OFICINAS. "
16/12/2020 10:24:52,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
16/12/2020 10:22:45,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,
16/12/2020 10:00:21,NO,SI,SI,Satisfactoria,Buena,En casa gobierno,Excelente atención casa gobierno ....mesa entrada ambos se llamaban Matias ...gracias y espero me ayuden a solucionar el tema
16/12/2020 9:56:13,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 9:55:52,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,NADA
16/12/2020 9:54:35,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
16/12/2020 9:31:09,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,RESPETEN MAS AL CONTRIBUYENTE Y A LOS PROFESIONALES QUE LOS ASISTEN. GRACIAS
16/12/2020 0:10:28,NO,SI,SI,Poco satisfactoria,Buena,Entrega en su domicilio real,
15/12/2020 23:25:37,SI,SI,SI,Satisfactoria,Buena,Entrega en su domicilio real,
15/12/2020 22:18:08,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,"que tomen los recaudos necesarios para que no se caiga la pagina, incluso los fines de semana"
15/12/2020 21:37:42,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 20:41:11,NO,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 20:09:18,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 20:06:56,SI,SI,SI,Poco satisfactoria,Buena,no finalizó el tramite,no finalizo el tramite no tengo el boleto para pagar
15/12/2020 20:00:29,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"En mi opinión, creo que demoran bastante en dar respuesta sobre tramites on line, o a mi me pasó que por lo menos me tardó un mes en tener el certificado que yo solicité, va pasando de un encargado a otro y demora mucho en acreditarse el certificado, finalmente si lo tuve, pero despues de un mes,"
15/12/2020 19:05:09,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,ES IMPOSIBLE COMUNICARSE CON USTEDES CUANDO HAY UN PROBLEMA QUE EXCEDE A LO QUE DICE LA PAGINA
15/12/2020 19:00:11,NO,SI,SI,Satisfactoria,Muy Buena,Entrega en su domicilio real,
15/12/2020 18:37:53,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"MEJORAR LA PARTE DE BÚSQUEDA DE LEGISLACIÓN, UNA PALABRA CLAVE O INDICACIÓN DE QUE SE TRATA EL NUMERO DE NORMA "
15/12/2020 17:27:01,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,Los tramites catastrales presentados por mis tramites no son resueltos
15/12/2020 16:39:11,SI,SI,NO,Satisfactoria,Regular,Descarga de la página web de ATM,"Sugeriria que se siga analizando un poco mas en profundidad el uso de exte electronico y mas amplitud de comprobantes a adjuntar. Con respecto a la emision de vep, lo ideal seria que el sistema calcule los intereses resarcitorios desde la fecha de vencimiento hasta la fecha del pago, NO UN DIA ANTERIOR A LA FECHA DE PAGO."
15/12/2020 15:08:15,SI,SI,SI,Muy satisfactoria,Muy Buena,NO HICE ESE TRAMITE,
15/12/2020 14:24:40,SI,NO,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 14:19:42,SI,NO,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 13:46:12,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 13:26:51,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 13:03:16,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 12:58:57,NO,SI,NO,Poco satisfactoria,Regular,Pago mis cuentas,
15/12/2020 12:41:57,NO,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,"Mantener la posibilidad de realizar los trámites a distancia, aún cuando termine todas las restricciones de distanciamiento y aislamiento del covid. La verdad que me tocó realizar un trámite por la plataforma y me resultó muy sencillo y práctico. Ahorré muchísimo tiempo al no tener que ir a las oficinas de ATM, estacionar, hacer cola, etc. Y la respuesta fue muy ágil también. Realmente quedé sorprendida para bien."
15/12/2020 11:43:18,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 11:30:23,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 10:46:26,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 10:34:47,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,"poder emitir automáticamente el boleto de pago de sellos, en mi caso las ordenes de compra del estado."
15/12/2020 10:31:52,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,la atencion presencial deberia ser mas  agil 
15/12/2020 10:24:36,SI,SI,NO,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,"Inicie tramite hace un mes nunca me contestaron, hace 1 mes estoy llamando al 148 opc 1 nunca me atendieron"
15/12/2020 10:22:51,SI,NO,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,PODRIAN SER MAS RAPIDOS EN CONTESTAR LA SOLICITUD DE SELLADO
15/12/2020 10:20:53,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
15/12/2020 10:13:19,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 10:05:54,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
15/12/2020 10:02:38,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,
15/12/2020 9:02:16,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"en el caso de enviar mail con expedientes o datos de planes, siempre agregar el cuit del contribuyente, de lo contrario es muy dificil encontrar esto en el caso de no ser el titular del correo que se recibe.
Por otro lado no deberían enviar correo por toda la información que desean comunicar, ya que al final se dejan de mirar los correos."
15/12/2020 8:38:37,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,"Deberia poder actualizar las cuotas en linea, sin tener que llamar al 148 y esperar 20' a que atiendan, porque si paga es sin actualizacion y luego hay que trasladarse a la Bolsa para pedir la diferencia de actualizacion que falta. "
14/12/2020 22:17:20,SI,SI,SI,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 22:00:00,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,"la oficina tramite on line no resuleve nada no se para que existe, nunca terminan un trámite dejan pasar el tiempo y lo archiva, deben cerrarla"
14/12/2020 21:57:45,SI,SI,SI,Nada satisfactoria,Buena,Descarga de la página web de ATM,"la oficina tramites on line nunca resuelve nada, hace 10 meses que no nos escuchan ni resuelven nuestro problemo no se para que existen si no hacen nada"
14/12/2020 21:47:25,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 21:32:52,NO,NO,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,me costó mucho crear mi cuenta propia
14/12/2020 21:15:45,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 20:38:39,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,AJILIZAR EN FORMA MAS RAPIDA EL PEDIDO DE SELLADOS
14/12/2020 19:12:08,SI,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,no esta claro en donde se puede cambiar domicilio y rectificar nombre asi como sigue figurando un auto robado hace 20 años
14/12/2020 18:54:07,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 16:23:38,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 16:22:09,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,que se puedan pagar actualizados todos los impuestos desde la pagina de ATM
14/12/2020 16:17:29,SI,SI,SI,Poco satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 16:16:31,SI,SI,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,"para llegar a la encuesta, deben cambiar PRECIONE AQUI!!! ES PRESIONE"
14/12/2020 15:52:20,SI,NO,SI,Satisfactoria,Buena,Descarga de la página web de ATM,No se pueden generar plan de pagos para terceros
14/12/2020 14:01:42,SI,SI,NO,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 13:59:06,SI,NO,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,Adaptar los servicios de ATM a los de AFIP que son menos complicados
14/12/2020 13:44:22,NO,NO,NO,Poco satisfactoria,Mala,Recepción por correo electrónico,"Mejorar la ubicación del instructivo explicativo, el instructivo no es fácil de entender"
14/12/2020 13:22:01,NO,SI,NO,Poco satisfactoria,Regular,Descarga de la página web de ATM,no es fácil para quienes no tenemos conocimiento online
14/12/2020 13:12:54,SI,SI,SI,Muy satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 12:59:53,SI,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,Agregar el trámite certificado de no retención 
14/12/2020 12:25:22,SI,SI,SI,Satisfactoria,Buena,Recepción por correo electrónico,
14/12/2020 11:56:03,SI,NO,SI,Poco satisfactoria,Buena,Descarga de la página web de ATM,No puedo cambiar la dirección de correo electrónico. figura la de mi contador y yo quiero poner mi correo que es:escribaniabattistini@gmail.com.-Esta direccion la necesito para el trámite que acabo de enviar para aprobación de plano para titulo supletorio. Quiero borrar el correo del contador y poner el mío y no puedo 
14/12/2020 11:45:37,SI,SI,SI,Nada satisfactoria,Regular,Descarga de la página web de ATM,"Mi tramite es por eso. Cometi un error al pagar y Uds. inventaron una deuda. La quiero pagar, pero no encuentro donde y el servicio telefonico es impoosible"
14/12/2020 11:36:25,SI,SI,SI,Poco satisfactoria,Regular,Descarga de la página web de ATM,Tienen que ser más eficientes con los trámites online a través de la Oficina Virtual
14/12/2020 11:32:18,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 11:18:47,SI,SI,SI,Satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 11:15:50,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 11:01:54,SI,SI,SI,Satisfactoria,Muy Buena,Descarga de la página web de ATM,
14/12/2020 10:30:59,NO,SI,SI,Satisfactoria,Regular,Descarga de la página web de ATM,
14/12/2020 10:23:58,SI,SI,SI,Muy satisfactoria,Buena,Descarga de la página web de ATM,
14/12/2020 10:16:21,SI,SI,NO,Nada satisfactoria,Buena,Descarga de la página web de ATM,"Se ruega resolver temas de solicitudes de sellados, por que es la tercera vez que se aborta por tiempo y desde ATM no lo revisan y lo tengo que volver a cargar. Como se puede agilizar ese tema? por que ya es engorroso"
