,ID,Genero,Auto,Propiedad,Hijos,Ingreso_anual,Tipo_trabajo,Nivel_educativo,Estado_civil,Vivienda,Telefono_laboral,Telefono_fijo,Email,Ocupacion,Tamaño_familia,Desempleado,Años_empleado,Edad
19579,5054756,F,0,1,2,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Medicine staff,4,0,17.08,43.24
19591,5054768,M,0,1,0,180000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,6.83,25.21
19599,5054774,M,0,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,4.16,58.49
19604,5055997,F,0,1,0,180000.0,Working,Higher education,Married,House / apartment,0,1,0,Cooking staff,2,0,4.15,43.84
19611,5055999,M,1,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2,0,0.65,40.12
19613,5056001,M,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2,0,6.82,57.8
19620,5056002,F,1,1,0,247500.0,State servant,Higher education,Single / not married,House / apartment,1,1,0,Core staff,1,0,13.07,32.91
19622,5056006,F,1,1,0,202500.0,State servant,Higher education,Single / not married,House / apartment,0,0,1,Core staff,1,0,7.32,38.67
19633,5056009,F,1,1,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,HR staff,2,0,2.07,46.43
19642,5056011,M,0,0,3,58500.0,Working,Secondary / secondary special,Married,With parents,1,1,0,Laborers,5,0,2.74,44.04
19644,5056012,F,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,66.21
19650,5056015,M,1,1,2,202500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Managers,4,0,5.82,50.11
19656,5056016,F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,59.55
19666,5056017,M,1,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,2,0,0.49,56.47
19668,5056019,F,0,1,0,90000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Core staff,1,0,3.32,50.68
19674,5056020,F,0,0,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,9.07,44.13
19677,5056021,F,0,1,1,90000.0,Working,Higher education,Married,House / apartment,0,0,0,Cleaning staff,3,0,9.23,37.09
19682,5056022,F,0,1,0,103500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,51.56
19690,5056023,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,59.61
19722,5056025,F,0,1,0,117000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Laborers,1,0,7.99,39.14
19739,5056027,F,1,1,0,360000.0,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,Medicine staff,1,0,1.57,29.01
19756,5056030,F,0,1,0,121500.0,Working,Incomplete higher,Civil marriage,Rented apartment,0,0,0,Sales staff,2,0,1.15,23.04
19760,5056031,F,0,0,0,112500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Sales staff,2,0,8.82,54.99
19763,5056032,M,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,1.57,47.4
19767,5056033,F,0,1,1,90000.0,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,Sales staff,2,0,13.74,43.55
19771,5056034,F,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2,0,6.49,31.57
19775,5056035,F,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,12.49,49.94
19788,5056042,F,0,1,0,45000.0,Working,Secondary / secondary special,Widow,House / apartment,0,0,0,Sales staff,1,0,2.4,47.25
19792,5056043,F,1,1,0,225000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,1,0,15.82,45.9
19800,5056045,F,1,1,1,112500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,2,0,1.65,31.93
19804,5056047,F,0,0,0,126000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,2,0,21.23,41.71
19810,5056049,F,0,1,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,3.57,59.8
19823,5056051,F,1,1,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,Core staff,2,0,26.23,56.76
19830,5056053,M,1,0,1,225000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,3,0,8.49,36.08
19840,5056056,M,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,10.49,51.5
19842,5056058,F,0,1,1,337500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Sales staff,2,0,3.07,36.64
19848,5056059,F,1,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.59
19849,5056061,M,0,0,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,2.57,31.58
19855,5056063,F,1,1,0,76500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,1,0,unknown,1,1,0.0,64.22
19881,5056070,F,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,2.15,38.51
19893,5056072,M,1,1,0,157500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,67.95
19902,5056074,M,1,1,0,202500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,unknown,2,0,9.82,53.19
19904,5056075,F,0,1,0,247500.0,Working,Secondary / secondary special,Civil marriage,With parents,0,0,0,unknown,2,0,2.15,35.08
19909,5056076,F,1,0,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cooking staff,4,0,5.32,41.49
19917,5056077,M,1,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,0,4.24,33.28
19923,5056079,F,0,1,0,126000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,0,0,1,Core staff,1,0,6.32,32.97
19933,5056081,M,1,1,0,261000.0,Working,Incomplete higher,Separated,House / apartment,0,0,0,Drivers,1,0,15.41,59.09
19936,5056082,F,0,0,1,180000.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,3,0,10.32,31.84
19940,5056084,F,0,1,3,180000.0,State servant,Higher education,Married,House / apartment,0,0,0,Core staff,5,0,20.26,43.81
19948,5056095,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,62.07
19952,5056102,F,1,0,1,405000.0,Commercial associate,Incomplete higher,Married,House / apartment,0,0,0,Sales staff,3,0,0.43,43.91
19953,5056103,F,0,1,0,117000.0,State servant,Secondary / secondary special,Single / not married,With parents,0,0,0,Core staff,1,0,1.6,56.41
19955,5056111,F,0,0,2,99000.0,State servant,Secondary / secondary special,Married,House / apartment,0,1,1,Cleaning staff,4,0,12.76,39.32
19962,5056117,M,1,1,0,270000.0,Commercial associate,Higher education,Married,House / apartment,1,1,0,Managers,2,0,19.52,48.47
19963,5056122,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,66.6
19966,5056127,M,0,1,0,117000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,14.09,48.1
19970,5056130,F,0,1,0,135000.0,Commercial associate,Secondary / secondary special,Single / not married,With parents,0,0,0,Laborers,1,0,4.6,35.38
19972,5056132,F,1,1,0,108000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Low-skill Laborers,2,0,32.01,54.97
19973,5056134,M,1,1,0,202500.0,Working,Incomplete higher,Married,House / apartment,0,1,0,Security staff,2,0,2.35,47.21
19978,5056142,M,1,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,40.76,64.13
19984,5056151,M,1,1,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Managers,2,0,3.1,41.21
19990,5056159,F,0,1,0,216000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,High skill tech staff,2,0,17.84,49.46
19996,5056165,F,0,0,0,208350.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.62
20002,5056175,F,0,1,2,85500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Sales staff,4,0,0.68,27.6
20005,5056178,F,0,1,0,202500.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,unknown,2,0,0.6,26.46
20011,5056184,F,0,1,0,38700.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,25.6,48.31
20012,5056185,F,0,1,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,0,5.76,38.66
20013,5056186,M,0,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,2.18,27.47
20017,5056192,F,0,1,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,54.62
20020,5056200,F,1,1,0,157500.0,Working,Higher education,Married,House / apartment,0,1,0,High skill tech staff,2,0,4.1,59.92
20025,5056210,F,0,0,1,180000.0,Working,Secondary / secondary special,Married,With parents,0,0,0,unknown,3,0,7.1,29.5
20034,5056227,F,0,1,0,40500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Cleaning staff,2,0,13.51,34.85
20046,5058244,F,0,1,0,90000.0,State servant,Higher education,Married,House / apartment,1,1,0,Core staff,2,0,1.49,35.18
20055,5058254,M,0,1,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Core staff,3,0,1.16,23.45
20058,5058257,M,0,0,1,225000.0,Commercial associate,Secondary / secondary special,Married,With parents,0,0,0,Drivers,3,0,5.23,48.92
20071,5058270,F,0,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Low-skill Laborers,2,0,11.74,53.68
20075,5058274,F,0,1,0,306000.0,Commercial associate,Higher education,Married,House / apartment,1,1,1,unknown,2,0,9.4,40.79
20083,5058290,F,0,1,0,288000.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,0,1,1,Private service staff,1,0,0.32,44.3
20089,5058296,F,1,1,0,162000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,2,0,4.65,48.8
20091,5058298,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,0,0,0,unknown,1,1,0.0,63.37
20096,5058305,F,0,1,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Managers,2,0,35.24,61.51
20111,5058307,M,1,1,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1,0,1.22,27.38
20115,5058315,F,0,1,0,135000.0,Pensioner,Higher education,Separated,House / apartment,0,1,0,unknown,1,1,0.0,56.68
20116,5058316,F,0,1,0,247500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,18.64,46.98
20121,5058321,M,1,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,3.81,29.95
20122,5058322,F,0,1,0,49500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,59.6
20127,5058327,F,0,1,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.87
20134,5058335,F,0,1,0,63000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,High skill tech staff,2,0,4.31,54.47
20144,5058345,F,0,1,0,99000.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,unknown,1,1,0.0,67.38
20148,5058355,F,0,0,0,135000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,2,0,5.56,27.07
20151,5058358,M,1,0,0,540000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,0,0,0,Sales staff,1,0,4.73,28.74
20155,5058362,F,0,1,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,63.44
20158,5058365,F,0,1,0,108000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,0,0,0,unknown,1,1,0.0,58.8
20160,5058366,F,0,0,0,90000.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,unknown,1,1,0.0,55.1
20162,5058369,F,0,1,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,unknown,2,0,0.97,47.82
20165,5058373,F,0,1,1,225000.0,Working,Higher education,Married,House / apartment,0,0,0,Drivers,3,0,2.97,31.62
20170,5058378,F,0,0,0,121500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,1,0,Laborers,2,0,25.06,49.35
20174,5058382,F,0,0,0,112500.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1,0,0.39,25.82
20175,5058383,M,0,1,0,166500.0,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,1,0.0,57.58
20180,5058390,F,0,1,0,81000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,unknown,2,0,3.64,41.95
20181,5058392,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,52.95
20182,5058393,M,0,1,0,121500.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.62
20185,5058396,F,0,1,0,54000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,unknown,2,0,21.22,51.06
20192,5058405,M,1,1,0,247500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2,0,7.14,35.16
20197,5058411,M,1,0,0,270000.0,Working,Incomplete higher,Single / not married,With parents,0,0,0,unknown,1,0,2.97,29.69
20200,5058414,F,0,1,1,108000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,3,0,8.97,38.41
20212,5058428,F,1,0,1,315000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Accountants,3,0,6.89,39.71
20218,5058435,F,1,1,0,135000.0,Commercial associate,Higher education,Married,House / apartment,0,0,0,Sales staff,2,0,0.31,57.28
20224,5058441,F,1,1,3,90000.0,Pensioner,Secondary / secondary special,Single / not married,Co-op apartment,0,0,0,unknown,4,1,0.0,64.79
20231,5058450,F,0,1,0,85500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,2,0,6.73,38.04
20232,5058451,F,0,1,0,157500.0,Working,Higher education,Married,House / apartment,0,0,0,Managers,2,0,6.64,47.55
20241,5058460,F,0,1,2,225000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0,0,0,Laborers,4,0,4.97,34.18
20248,5058468,M,0,1,1,157500.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,Security staff,3,0,2.39,27.95
20252,5058474,M,1,1,0,225000.0,Pensioner,Higher education,Separated,House / apartment,0,0,0,unknown,1,1,0.0,56.64
20262,5058484,M,0,0,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Drivers,1,0,3.64,41.65
20273,5058495,F,0,1,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,62.35
20291,5058513,M,0,1,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,Drivers,3,0,2.73,23.88
20293,5058515,F,0,0,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,Drivers,2,0,28.39,53.94
20295,5058521,F,0,1,0,405000.0,Commercial associate,Secondary / secondary special,Married,With parents,1,1,0,Laborers,2,0,9.31,39.93
20299,5058526,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.82
20300,5058527,M,0,0,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,0,0,0,Sales staff,1,0,1.39,25.3
20303,5058533,F,0,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,58.94
20311,5058541,M,1,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,64.51
20317,5058547,F,0,1,0,225000.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,0,0,0,Private service staff,1,0,14.73,43.57
20320,5058549,F,0,1,0,135000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Managers,1,0,10.06,54.18
20322,5058551,M,1,1,0,135000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Laborers,1,0,3.23,27.1
20325,5058554,F,1,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,63.51
20328,5061065,M,1,0,0,256500.0,Pensioner,Higher education,Married,House / apartment,0,1,0,unknown,2,1,0.0,59.99
20334,5061072,F,0,0,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,Sales staff,2,0,0.46,42.11
20335,5061073,M,0,0,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,0.71,53.48
20336,5061074,M,1,0,0,157500.0,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,unknown,2,0,8.88,40.87
20341,5061080,M,0,0,0,270000.0,Working,Higher education,Married,House / apartment,0,1,0,unknown,2,0,6.87,29.39
20344,5061083,F,0,0,0,157500.0,State servant,Secondary / secondary special,Widow,House / apartment,1,0,0,Cleaning staff,1,0,18.29,55.75
20346,5061085,F,0,0,0,139500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,1,Core staff,1,0,2.12,25.96
20347,5061086,F,1,0,3,135000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Sales staff,5,0,8.88,30.47
20353,5061094,F,0,1,1,180000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0,0,1,Laborers,3,0,18.54,41.0
20355,5061099,M,1,1,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Cooking staff,1,0,4.29,26.15
20358,5061102,M,1,0,2,139500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Core staff,4,0,4.38,35.56
20360,5061106,M,1,1,1,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Core staff,3,0,10.96,43.18
20364,5061110,M,0,1,0,112500.0,Working,Higher education,Civil marriage,House / apartment,0,0,0,Security staff,2,0,15.29,54.78
20373,5061120,F,0,1,1,324000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,3,0,13.13,36.91
20382,5061133,M,0,1,0,135000.0,State servant,Higher education,Married,House / apartment,0,1,1,Core staff,2,0,7.71,52.33
20383,5061135,F,0,1,2,58500.0,Working,Higher education,Married,House / apartment,0,0,0,Core staff,4,0,16.29,38.95
20387,5061139,F,1,1,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.74
20396,5061148,M,1,1,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,1.13,52.11
20397,5061151,M,1,1,3,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,5,0,10.04,36.41
20415,5061178,M,1,1,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Laborers,2,0,2.13,34.54
20423,5061187,F,0,1,1,180000.0,State servant,Higher education,Married,House / apartment,0,0,1,High skill tech staff,3,0,9.54,30.03
20429,5061193,F,0,1,1,135000.0,Working,Secondary / secondary special,Civil marriage,With parents,0,0,1,Sales staff,3,0,1.79,31.67
20437,5061201,F,0,1,0,49500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,63.47
20438,5061203,M,0,1,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Laborers,4,0,5.13,29.86
20441,5061207,M,1,1,14,225000.0,Working,Secondary / secondary special,Separated,House / apartment,0,0,0,Drivers,15,0,4.62,48.61
20444,5061212,M,1,1,0,112500.0,Working,Secondary / secondary special,Separated,House / apartment,0,1,1,Laborers,1,0,12.29,51.95
20446,5061214,F,1,1,4,157500.0,State servant,Secondary / secondary special,Separated,House / apartment,1,1,0,Security staff,5,0,11.46,38.31
20452,5061220,F,1,1,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Cleaning staff,2,0,3.13,57.03
20458,5061226,M,1,1,0,222750.0,Working,Higher education,Married,House / apartment,0,0,0,Drivers,2,0,3.62,46.39
20466,5061236,F,0,1,0,180000.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.91
20475,5061245,F,0,1,0,112500.0,Working,Incomplete higher,Civil marriage,House / apartment,0,0,0,unknown,2,0,4.79,25.46
20491,5061261,M,0,1,1,225000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Drivers,3,0,0.88,30.62
20494,5061265,F,0,1,0,211500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,0,5.2,45.7
20497,5061268,F,0,1,0,45000.0,Working,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,0,2.71,39.41
20498,5061270,F,1,1,0,85500.0,Working,Higher education,Married,House / apartment,0,1,0,Core staff,2,0,26.62,50.48
20502,5061274,M,0,0,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Private service staff,2,0,7.88,38.69
20510,5061282,F,0,0,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,unknown,2,0,18.2,38.92
20512,5061286,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,63.03
20520,5061296,F,0,0,0,67500.0,Working,Secondary / secondary special,Married,With parents,1,1,0,Medicine staff,2,0,23.79,42.92
20530,5061307,F,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,1,Laborers,2,0,18.04,52.89
20538,5061317,F,1,1,1,261000.0,State servant,Higher education,Married,House / apartment,0,0,0,Managers,3,0,4.46,41.2
20543,5061324,M,1,1,0,315000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,High skill tech staff,2,0,11.96,57.71
20545,5061332,F,1,1,1,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,3,0,3.79,36.68
20547,5061334,F,0,1,0,94500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,66.54
20554,5061344,F,0,0,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,6.04,54.08
20555,5061346,F,1,1,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,59.2
20558,5061352,F,0,1,0,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Core staff,1,0,13.54,50.14
20560,5061354,F,0,1,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Private service staff,3,0,1.2,35.72
20564,5061358,M,0,1,0,65250.0,Pensioner,Higher education,Married,House / apartment,0,0,0,unknown,2,1,0.0,57.14
20567,5061361,M,0,1,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Security staff,1,0,0.54,25.04
20568,5061362,M,1,1,0,180000.0,Working,Higher education,Single / not married,House / apartment,0,0,0,Drivers,1,0,1.46,25.83
20572,5061368,F,0,1,1,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,0,Laborers,2,0,22.79,46.73
20577,5061376,F,1,1,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,unknown,2,0,7.79,54.08
20581,5061381,M,1,0,0,450000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,0,12.71,43.83
20587,5061388,F,1,1,1,225000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,1,Medicine staff,3,0,4.04,37.37
20589,5061390,F,0,1,0,90000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,1,0,unknown,1,1,0.0,57.65
20594,5061396,M,0,1,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,0,0,0,unknown,2,1,0.0,64.13
20598,5061400,F,0,0,0,153000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,0,unknown,1,1,0.0,44.77
20601,5061403,F,1,1,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,1,Laborers,4,0,3.79,35.63
20604,5061409,F,0,1,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,62.17
20606,5061411,F,0,1,0,162000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,1,1,0,Cooking staff,2,0,19.62,39.67
20610,5061415,F,0,1,0,157500.0,Working,Higher education,Married,House / apartment,0,0,1,Core staff,2,0,2.87,46.94
20613,5061418,F,0,1,0,270000.0,Commercial associate,Lower secondary,Civil marriage,House / apartment,1,1,0,Sales staff,2,0,5.04,40.0
20614,5061419,F,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Sales staff,2,0,13.29,44.43
20620,5061428,M,0,1,0,225000.0,State servant,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,0,3.04,37.68
20621,5061429,F,0,1,0,67500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,67.13
20622,5061430,F,0,1,0,56250.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,1,0,unknown,2,1,0.0,65.28
20626,5061434,F,0,1,0,292500.0,Working,Secondary / secondary special,Single / not married,House / apartment,0,0,1,unknown,1,0,9.62,36.78
20630,5061438,F,0,1,1,112500.0,Working,Higher education,Married,House / apartment,0,0,1,High skill tech staff,3,0,39.62,58.24
20636,5061449,F,0,1,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,High skill tech staff,2,0,27.71,49.59
20648,5061467,M,1,1,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,1,1,0,Laborers,2,0,4.71,32.29
20649,5061469,F,0,1,1,112500.0,Working,Higher education,Married,House / apartment,0,0,0,Laborers,3,0,3.46,29.65
20653,5061473,M,1,1,1,324000.0,Working,Higher education,Married,House / apartment,1,1,0,High skill tech staff,3,0,8.71,30.93
20660,5061481,F,0,1,1,225000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Managers,3,0,6.2,26.32
20663,5061484,M,1,1,3,270000.0,Commercial associate,Higher education,Married,House / apartment,0,0,1,Drivers,5,0,2.29,38.23
20666,5061488,F,0,1,1,135000.0,Working,Incomplete higher,Married,House / apartment,0,0,0,unknown,3,0,25.62,43.66
20677,5061503,F,0,1,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,58.77
20685,5061512,F,0,1,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,Cleaning staff,2,0,5.04,51.38
20695,5061525,F,0,1,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,0,0,1,unknown,1,1,0.0,64.98
20698,5061528,F,0,1,1,202500.0,Working,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,3,0,12.79,38.75
20706,5061547,F,1,1,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,66.04
20715,5061557,F,0,1,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,1,0,0,Laborers,2,0,4.71,41.2
20718,5061560,F,0,1,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0,0,0,unknown,2,1,0.0,51.36
